"filename", "language", "C++", "CMake", "Markdown", "Batch", "C", "F#", "Makefile", "comment", "blank", "total"
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/core_input_keys.c", "C", 0, 0, 0, 0, 23, 0, 0, 30, 13, 66
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/core_input_mouse.c", "C", 0, 0, 0, 0, 36, 0, 0, 30, 16, 82
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/core_input_mouse_wheel.c", "C", 0, 0, 0, 0, 22, 0, 0, 30, 13, 65
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/core_input_multitouch.c", "C", 0, 0, 0, 0, 30, 0, 0, 37, 15, 82
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/core_input_virtual_controls.c", "C", 0, 0, 0, 0, 102, 0, 0, 43, 27, 172
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/core_keyboard_testbed.c", "C", 0, 0, 0, 0, 243, 0, 0, 60, 30, 333
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/core_monitor_detector.c", "C", 0, 0, 0, 0, 89, 0, 0, 42, 29, 160
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/core_random_sequence.c", "C", 0, 0, 0, 0, 98, 0, 0, 44, 36, 178
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/core_random_values.c", "C", 0, 0, 0, 0, 26, 0, 0, 32, 16, 74
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/core_render_texture.c", "C", 0, 0, 0, 0, 39, 0, 0, 39, 23, 101
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/core_scissor_test.c", "C", 0, 0, 0, 0, 27, 0, 0, 35, 17, 79
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/core_screen_recording.c", "C", 0, 0, 0, 0, 83, 0, 0, 55, 29, 167
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/core_smooth_pixelperfect.c", "C", 0, 0, 0, 0, 80, 0, 0, 38, 32, 150
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/core_storage_values.c", "C", 0, 0, 0, 0, 116, 0, 0, 48, 36, 200
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/core_text_file_loading.c", "C", 0, 0, 0, 0, 89, 0, 0, 50, 35, 174
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/core_undo_redo.c", "C", 0, 0, 0, 0, 189, 0, 0, 79, 45, 313
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/core_viewport_scaling.c", "C", 0, 0, 0, 0, 214, 0, 0, 54, 53, 321
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/core_vr_simulator.c", "C", 0, 0, 0, 0, 85, 0, 0, 42, 25, 152
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/core_window_flags.c", "C", 0, 0, 0, 0, 121, 0, 0, 51, 36, 208
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/core_window_letterbox.c", "C", 0, 0, 0, 0, 48, 0, 0, 40, 22, 110
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/core_window_should_close.c", "C", 0, 0, 0, 0, 31, 0, 0, 33, 16, 80
"/Users/mateuszwrobel/Documents/Sem4/cpp/projekt/build/_deps/raylib-src/examples/core/core_window_web.c", "C", 0, 0, 0, 0, 29, 0, 0, 43, 15, 87
